776	10971	0
776	18931	0
776	49918	0
776	620	0
776	19096	0
776	695	0
776	19278	0
776	22	0
776	4900	0
776	53	0
776	18830	0
776	1174	0
776	993	0
776	576	0
776	578	0
776	11067	0
776	472	0
10971	18931	0
10971	49918	0
10971	620	0
10971	2	0
10971	19096	0
10971	695	0
10971	19278	0
10971	22	0
10971	4900	0
10971	53	0
10971	18830	0
10971	1174	0
10971	993	0
10971	576	0
10971	578	0
10971	11067	0
10971	756	0
10971	472	0
18931	49918	0
18931	620	0
18931	2	0
18931	19096	0
18931	695	0
18931	19278	0
18931	22	0
18931	4900	0
18931	53	0
18931	18830	0
18931	1174	0
18931	993	0
18931	576	0
18931	578	0
18931	11067	0
18931	756	0
18931	472	0
49918	620	0
49918	2	0
49918	19096	0
49918	695	0
49918	19278	0
49918	22	0
49918	4900	0
49918	53	0
49918	18830	0
49918	1174	0
49918	993	0
49918	576	0
49918	578	0
49918	11067	0
49918	756	0
49918	472	0
620	2	0
620	19096	0
620	695	0
620	19278	0
620	22	0
620	4900	0
620	53	0
620	18830	0
620	1174	0
620	993	0
620	576	0
620	578	0
620	11067	0
620	756	0
620	472	0
2	19096	0
2	19278	0
2	4900	0
2	18830	0
2	576	0
2	578	0
2	11067	0
2	472	0
19096	695	0
19096	19278	0
19096	22	1
19096	4900	0
19096	53	0
19096	18830	0
19096	1174	0
19096	993	0
19096	576	6
19096	578	0
19096	11067	0
19096	756	0
19096	472	0
695	19278	0
695	22	0
695	4900	0
695	53	0
695	18830	0
695	1174	0
695	993	0
695	576	0
695	578	0
695	11067	0
695	756	0
695	472	0
19278	22	0
19278	4900	0
19278	53	0
19278	18830	0
19278	1174	0
19278	993	0
19278	576	0
19278	578	0
19278	11067	0
19278	756	0
19278	472	0
22	4900	0
22	53	0
22	18830	0
22	993	0
22	578	0
22	11067	0
22	756	0
22	472	0
4900	53	0
4900	18830	0
4900	1174	0
4900	993	0
4900	576	0
4900	578	0
4900	11067	0
4900	472	0
53	18830	0
53	993	0
53	576	0
53	578	0
53	11067	0
53	472	2
18830	1174	0
18830	993	0
18830	576	0
18830	578	0
18830	11067	0
18830	756	0
18830	472	0
1174	993	0
1174	576	0
1174	578	0
1174	11067	0
1174	472	0
993	576	0
993	578	0
993	11067	0
993	756	0
993	472	0
576	578	0
576	11067	0
576	756	0
576	472	0
578	11067	0
578	756	0
578	472	0
11067	756	0
11067	472	0
756	472	0
