776	2810	0.220775	0.0442466	4.98965	1	0.220775	1.00000	0
776	401	2.16263	0.529134	4.08712	1	2.16263	1.00000	0
776	573	0.466406	0.190413	2.44945	1	0.466406	1.00000	0
10971	2398	1.67852	0.500000	3.35705	1	1.67852	1.00000	1
18931	4956	0.279247	0.159586	1.74982	1	0.279247	1.00000	0
18931	39561	1.09738	0.579497	1.89368	1	1.09738	1.00000	0
49918	39750	1.04633	0.333333	3.13899	1	1.04633	1.00000	0
2	1174	1.36920	0.278863	4.90993	1	1.36920	1.00000	1
2	1146	1.31204	0.278863	4.70497	1	1.31204	1.00000	1
19096	588	5.93755	5.52316	11.8253	11	1.60811	3.11494	0
19096	3756	6.83054	5.35469	12.7562	10	1.51718	2.51555	0
19096	2810	5.25246	3.34304	9.42697	6	0.866437	1.17320	0
19096	19404	0.621854	0.333333	1.86556	1	0.621854	1.00000	0
19096	401	4.96726	2.62605	11.3492	6	1.50295	1.72747	1
19096	350	0.766935	0.504478	4.56077	3	0.0996044	0.411012	0
19096	521	3.46971	1.60583	6.48210	3	0.812196	0.786157	0
19096	267	0.144404	0.105827	1.36454	1	0.144404	1.00000	0
19096	4794	5.70347	5.49509	13.4930	13	1.04190	2.02705	0
695	728	2.08672	0.529134	3.94365	1	2.08672	1.00000	0
22	3236	0.408564	0.0824857	4.95315	1	0.408564	1.00000	0
22	2810	1.50993	0.557432	5.41744	2	0.0349331	0.0462712	0
53	5604	2.63676	0.500000	5.27353	1	2.63676	1.00000	1
53	2798	1.70283	0.500000	3.40565	1	1.70283	1.00000	0
53	3328	0.193104	0.0546988	3.53032	1	0.193104	1.00000	0
53	10467	0.504639	0.195666	2.57908	1	0.504639	1.00000	0
1174	2798	1.11394	0.235548	4.72912	1	1.11394	1.00000	1
1174	1146	1.34304	0.278863	4.81613	1	1.34304	1.00000	0
1174	4794	0.227059	0.0600872	3.77882	1	0.227059	1.00000	0
576	3756	0.153828	0.0467693	3.28909	1	0.153828	1.00000	0
576	2810	0.166170	0.0504063	3.29661	1	0.166170	1.00000	0
576	534	0.517714	0.393675	1.31508	1	0.517714	1.00000	0
